Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0402,2,2.2uF,GRM155D80J225ME95D
"C10, C2, C9",0402,3,10nF,GRM155R71H103KA88D
"C11, C8",0402,2,22nF,GRM155R71H223KA12D
"C12, C13",0402,2,470nF,C1005X5R1E474K050BB
C14,0603,1,1nF,GRM155R71H102KA01D
C15,0402,1,3.9pF,GRM1555C1H3R9BA01D
"C16, C19, C20, C21, C22, C24, C27, C32",0402,8,0.1uF,GRM155R71H104KE14D
"C17, C18, C26, C39",0603,4,10uF,GRT188R61E106ME13D
"C23, C25, C28, C29",0402,4,8pF,GJM1555C1H8R0BB01D
C30,0603,1,1uF,EMK105BJ105KV-F
"C31, C36",0201,2,1.5pF,GJM0335C1E1R5WB01D
C33,0201,1,2.0pF,GRM0335C1H2R0WA01D
C34,0603,1,4.7uF,GMC10X5R475K10NT
C35,0201,1,0.3pF,GRM0335C1ER30WA01D
C4,0402,1,2.2nF,GRM155R71C223KA01D
C5,0603,1,10nF,GRM155R71H103KA88D
C6,0603,1,100nF,GRM155R71H104KE14D
C7,0603,1,330pF,GRM155R71H331KA01D
E1,XDCR_AMCA31-2R450G-S1F-T3,1,AMCA31-2R450G-S1F-T3,AMCA31-2R450G-S1F-T3
FB1,0402,1,120,2504021217Y0
IC1,Texas_VQFN-RHL-20,1,BQ51013BRHLR,BQ51013BRHLR
IC2,BGA6C40P2X3_88X158X50,1,BQ25100YFPR,BQ25100YFPR
IC3,BQ298009RUGR,1,BQ298009RUGR,BQ298009RUGR
L1,0603,1,4.7uH,MLZ1608CWC4R7MTD25
L2,1812,1,RX COIL,WR444030-16F3-G
L3,0201,1,2.7nH,LQP03HQ2N7B02D
"L4, L5",0201,2,3.5nH,LQP03HQ3N5B02D
L6,0201,1,3.9nH,LQP03TQ3N9B02D
L7,0603,1,2.2uH,LQM18PN2R2MGHD
Q1,EFC3J018NUZTDG,1,EFC3J018NUZTDG,EFC3J018NUZTDG
R1,0402,1,6.34k,RC0402FR-076K34L
R10,0805,1,100m,RL1220S-R10-F
R11,0402,1,20,RC0402FR-0720RL
R13,0402,1,2k,RC0402FR-0720KL
R2,0402,1,196,CRCW0402196RFKED
R3,0402,1,20k,RC0402FR-0720KL
R4,0402,1,1k,RC0402FR-071KL
R5,0402,1,10k,RC0402FR-0710KL
R6,0402,1,3.4k,RC0402FR-073K4L
R7,0402,1,6.04k,RC0402FR-076K04L
R8,0402,1,7.5k,RC0402FR-077K5L
R9,0402,1,300,RC0402FR-07300RL
U1,QFN40P600X600X90-49N,1,NRF54L15-QFAA-R,NRF54L15-QFAA-R
U2,TPS62840YBGR,1,TPS62840YBGR,TPS62840YBGR
Y1,ABM11W300000MHZ4B1UT3,1,32MHz,ABM11W-32.0000MHZ-7-D1X-T3
Y2,ECS327712TR,1,ECS-.327-7-12-TR,ECS-.327-7-12-TR
