Designator,Mid X,Mid Y,Rotation,Layer
C1,155.6,-72.12,90.0,top
C10,154.75,-87.77,270.0,top
C11,155.7,-87.77,270.0,top
C12,155.23,-86.35,0.0,top
C13,156.0,-95.73,90.0,top
C14,149.15,-91.9,90.0,top
C15,160.3,-80.5,0.0,top
C16,150.02,-72.9,180.0,top
C17,153.225,-96.85,180.0,top
C18,152.475,-87.0,180.0,top
C19,149.7,-78.4,180.0,top
C2,156.6,-72.12,90.0,top
C20,153.27,-95.6,180.0,top
C21,152.77,-88.25,180.0,top
C22,155.97,-81.8,180.0,top
C23,162.3,-72.1,90.0,top
C24,158.1,-72.1,90.0,top
C25,148.1,-73.82,90.0,top
C26,150.2,-70.875,90.0,top
C27,159.1,-100.0,180.0,top
C28,148.1,-76.18,270.0,top
C29,160.5,-70.1,0.0,top
C3,152.82,-71.1,180.0,top
C30,157.775,-98.25,0.0,top
C31,159.9,-76.1,0.0,top
C32,152.5,-103.48,270.0,top
C33,162.4,-77.145,90.0,top
C34,160.5,-103.725,90.0,top
C35,164.6,-76.48,270.0,top
C36,165.68,-83.65,0.0,top
C39,162.8,-101.75,180.0,top
C4,160.38,-75.2,0.0,top
C5,147.425,-95.0,0.0,top
C6,147.425,-96.6,0.0,top
C7,147.55,-91.9,90.0,top
C8,157.0,-95.73,90.0,top
C9,150.63,-96.6,0.0,top
E1,166.0,-90.3,270.0,top
FB1,154.6,-72.115,270.0,top
IC1,154.5,-92.0,90.0,top
IC2,157.0,-100.5,0.0,top
IC3,152.185,-100.5,0.0,top
J1,144.5,-75.58,0.0,top
L1,152.5125,-72.3,180.0,top
L2,143.5,-92.0,270.0,top
L3,159.9,-76.8,0.0,top
L4,161.3,-76.8,0.0,top
L5,163.5,-76.8,0.0,top
L6,166.0,-84.75,270.0,top
L7,165.1,-103.5,90.0,top
Q1,146.35,-100.5,90.0,top
R1,158.0,-88.66,270.0,top
R10,146.9125,-106.0,180.0,top
R11,150.99,-103.0,0.0,top
R13,149.45,-98.56,270.0,top
R2,158.51,-87.15,0.0,top
R3,158.0,-85.64,270.0,top
R4,160.32,-81.5,0.0,top
R5,159.0,-88.64,90.0,top
R6,159.11,-101.0,180.0,top
R7,157.6,-103.4,90.0,top
R8,156.5,-103.4,270.0,top
R9,153.6,-103.51,90.0,top
TP2,166.25,-99.25,0.0,bottom
TP4,144.5,-85.0,0.0,bottom
TP5,153.25,-98.35,0.0,bottom
U1,155.0,-77.0,0.0,top
U2,162.8,-104.3,0.0,top
Y1,160.5,-72.1,90.0,top
Y2,149.6,-75.0,270.0,top
